user_id,origin,replaced
719,maple ridge state of mind ,maple ridge state of mind 
721,NorthLondon!!,northlondon  
731,|Broncos Country, Colorado |,broncos country  colorado 
734,surrounded by corn,surrounded by corn
737,The Night's Watch,the night s watch
747,insta - dlmorrisx,insta   dlmorrisx
752,whorelando ,whorelando 
753,The Yellow Brick Road,the yellow brick road
754,FILLMOE CA,fillmoe ca
755,|SC • Washington, DC|,sc   washington  dc
757,City of Meereen,city of meereen
763,Spice World,spice world
769,|The end of the rainbow, TN |,the end of the rainbow  tn 
772,Westeros,westeros
773,who is asking? o.O,who is asking  o o
780,Living in my pokéball. ,living in my pok ball  
790,|The Eyrie, Westeros |,the eyrie  westeros 
792,Westeros,westeros
794,Fire of desire,fire of desire
801,LA-NY-Vancouver,la ny vancouver
805,virtual paradise,virtual paradise
815,London and Liverpool,london and liverpool
816,Where the soft grapes AREN'T,where the soft grapes aren t
823,|LA, formerly Israel, UK, NY|,la  formerly israel  uk  ny
829,Westeros,westeros
832,My own world at times :) ,my own world at times    
837,|RP||Older!Trystane|,rp older trystane
839,|King's Landing||||Westeros|,king s landing  westeros
842,Bandung s/d Jakarta,bandung s d jakarta
844,onto better things...,onto better things   
846,snapchat: nonjforrest,snapchat  nonjforrest
849,In the middle,in the middle
850,Painted Table,painted table
853,Westeros,westeros
863,Melbourne AU-L.A x,melbourne au l a x
864,Westeros,westeros
865,on the grind daily,on the grind daily
866,LA left coast,la left coast
875,Nostalgia creek,nostalgia creek
880,outside boston,outside boston
888,Philly/NY,philly ny
889,All Around The World,all around the world
894,Westeros,westeros
898,|RAH-RAH-leigh, N.C.|,rah rah leigh  n c 
899,KingsLanding,kingslanding
902,|Kings Landing, Westeros|,kings landing  westeros
913,Oštrovac,o trovac
919,Gordon College Volleyball '19,gordon college volleyball    
920,Casterly Rock,casterly rock
921,Cydonia region of Mars,cydonia region of mars
924,|Hoopa, Bay Area & Las Vegas|,hoopa  bay area   las vegas
925,|Caltech, Pasadena, California|,caltech  pasadena  california
929,Outer Space,outer space
942,College of Winterhold,college of winterhold
950,Bruno's underwear.,bruno s underwear 
951,305 to my mermaid's crib ,    to my mermaid s crib 
955,Fan Account,fan account
966,|Cathedra mea, regulæ meæ.|,cathedra mea  regul  me  
968,Gotham City,gotham city
971,Detroit✈Virginia✈Houston,detroit virginia houston
974,The Outer Rim,the outer rim
978,Smokin and mindin my business,smokin and mindin my business
979,Free City of Pentos,free city of pentos
983,guyhirn in cambridgeshire,guyhirn in cambridgeshire
984,Stayin low ,stayin low 
989,with Taylor swift,with taylor swift
991,|Dublin/Mayo, Ireland |,dublin mayo  ireland 
996,Westeros,westeros
999,The City of Dreaming Spires,the city of dreaming spires
1000,http://youtu.be/iX1a3JngmpI,http   youtu be ix a jngmpi
1004,with everyone ♥♥,with everyone   
1009,|At sea, unseen|,at sea  unseen
1012,Up in the air,up in the air
1013,Punekar,punekar
1016,Studying ,studying 
1023,NYC & Maryland,nyc   maryland
1025,where my heart is,where my heart is
1029,|On my way to the top, u comn?|,on my way to the top  u comn 
1031,|westside,ATL|,westside atl
1032,|México, D.F.|,m xico  d f 
1033,amy. 21. bearcat nation. ,amy      bearcat nation  
1034,NOT affiliated with the show.,not affiliated with the show 
1036,Back 2 The Future!,back   the future 
1039,Permeating the epidermis...,permeating the epidermis   
1043,Wouldn't you like to know?,wouldn t you like to know 
1045,Where HE GET THAT CASH AT ,where he get that cash at 
1048,|Rivendell, Middle Earth.|,rivendell  middle earth 
1051,|||•|| Game of Thrones ||•|||,    game of thrones    
1056,multifandoms yikes !,multifandoms yikes  
1059,Left my heart in Sevilla.,left my heart in sevilla 
1070,The Enchanted Forest,the enchanted forest
1074,|Canfield, Ohihoe|,canfield  ohihoe
1076,New York Chi-Town Sydney Spain,new york chi town sydney spain
1077,In My Spot ,in my spot 
1080,here and elsewhere,here and elsewhere
1082,im every where,im every where
1084,Accy Mate ,accy mate 
1087,In Papa YG's hat,in papa yg s hat
1093,Amsterdam✈️Doncaster✈️Illinois,amsterdam  doncaster  illinois
1096,In your heart.,in your heart 
1103,Reaching for higher heights,reaching for higher heights
1104,little old kettering ,little old kettering 
1106,|Saghanistan,Mi|,saghanistan mi
1116,Winterfell,winterfell
1117,|Location:Earth, Milky Way|,location earth  milky way
1123,|[ModernAU||14]|, modernau    
1126,Parts Unknown,parts unknown
1127,*Parody Account*, parody account 
1132,Road to Recovery,road to recovery
1135,Watery Halls,watery halls
1150,Coming For You,coming for you
1165,|Nelson Sq, Bolton, BL1 1JT|,nelson sq  bolton  bl   jt
1168,Nahth of Bahston,nahth of bahston
1175,[Not actually Sophie], not actually sophie 
1183,Taylor Nation,taylor nation
1185,|Bracknell, Berkshire|,bracknell  berkshire
1190,Hogwarts ,hogwarts 
1199,|The Eyrie, Westros|,the eyrie  westros
1202,|Porth, Paradise|,porth  paradise
1205,Scarlett Plouviez Comnas,scarlett plouviez comnas
1209,poems below,poems below
1213,|Detroit, Mi #LoveMyCity|,detroit  mi  lovemycity
1215,Earth! #Bazinga,earth   bazinga
1217,London/Northampton,london northampton
1218,#bEASTCOAST., beastcoast 
1220,Lauderdale✈✈ATL✈️✈️Durham ,lauderdale  atl    durham 
1224,|Exiled, forever exiled |,exiled  forever exiled 
1225,ancaster/toronto,ancaster toronto
1228,Casterly Rock,casterly rock
1230,Where The WIld Things Are,where the wild things are
1231,Chum Bucket,chum bucket
1235,studing in a field near you,studing in a field near you
1238,Greater Cincinnati & Dayton,greater cincinnati   dayton
1245,             .. new jack city ,                new jack city 
1247,Niklaus' Bayou,niklaus  bayou
1261,Land Of The Lit,land of the lit
1269,|In The Mitten, USA|,in the mitten  usa
1275,Curva Sud Milano,curva sud milano
1277,from later,from later
1279,worldwide eye,worldwide eye
1281,Woodhouse Eaves,woodhouse eaves
1290,from YouTube to the Big screen,from youtube to the big screen
1292,Deep in the abyss of what if.,deep in the abyss of what if 
1308,|Bakersfield, CA✈️ Ames, IA|,bakersfield  ca   ames  ia
1313,|mia||atx||lbk|,mia atx lbk
1314,Snapchat- lowrigarlandx,snapchat  lowrigarlandx
1334,Westeros,westeros
1337,DC / NOVA,dc   nova
1338,Pentos,pentos
1353,ATL/CHI/TPA,atl chi tpa
1355,#WesterosPrep , westerosprep 
1371,Love is Inevitable,love is inevitable
1374,wlfd,wlfd
1377,I Broke Myself,i broke myself
1378,|DCEU, MCU, SWU, or Westeros|,dceu  mcu  swu  or westeros
1379,|Caltech, Pasadena, CA|,caltech  pasadena  ca
1387,Bolton News Towers,bolton news towers
1400,on your mind,on your mind
1401,YOUR PANTS,your pants
1403,baozis runs the world.,baozis runs the world 
1405,Netflix,netflix
1407,still determining that....,still determining that    
1408,Dragonstone/The North,dragonstone the north
1409,|Fly||High||Society|,fly high society
1410,N.J.N.Y.C,n j n y c
1411,Winterfell,winterfell
1412,San Francisco and St. Helena,san francisco and st  helena
1413,Batcave...Tatooine...Starfleet,batcave   tatooine   starfleet
1417,|sadly, tx|,sadly  tx
1424,|222 Osborne, WPG|,    osborne  wpg
1425,Absolutely EVERYWHERE!,absolutely everywhere 
1426,City of Blinding Lights,city of blinding lights
1427,In The Lap Of The Gods,in the lap of the gods
1429,|1,000 miles from anywhere cool|,      miles from anywhere cool
1439,|St. John's, Newfoundland, Cana|,st  john s  newfoundland  cana
1446,with Allie,with allie
1447,winterfell,winterfell
1449,from hell above,from hell above
1452,KingsLanding,kingslanding
1457,Yovana Hernandez,yovana hernandez
1458,@ObsoleteQueen, obsoletequeen
1463,No place I'd rather be,no place i d rather be
1464,The 4th Dimension,the  th dimension
1471,In My Mind,in my mind
1473,Pmk/Kkdi/salem/chennai/Blr,pmk kkdi salem chennai blr
1506,Wherever my hat is.,wherever my hat is 
1508,dark side of the moon,dark side of the moon
1513,Poynton - Durham - Harare,poynton   durham   harare
1527,Watchtower above Earth,watchtower above earth
1529,|4A, 2311 N. Los Robles Avenue|, a       n  los robles avenue
1532,Seven Kingdoms,seven kingdoms
1534,Winterfell?,winterfell 
1541,bristol via swansea uni ,bristol via swansea uni 
1547,Carew st.,carew st 
1554,|221B Baker street, Westeros, Wholock Universe.|,   b baker street  westeros  wholock universe 
1561,Hogwart,hogwart
1566,Jo'burg South Africa,jo burg south africa
1568,Modern Westeros,modern westeros
1574,|Botswana || London|,botswana   london
1577,Westeros,westeros
1582,Canterlot,canterlot
1584,Meereen,meereen
1585,ben affleck's bedroom,ben affleck s bedroom
1588,|Here,There&Everywhere|,here there everywhere
1589,|Secunda, SA|,secunda  sa
1590,probably hell,probably hell
1597,NJ/NY ,nj ny 
1601,|BIG GIRL RESORT, NY|,big girl resort  ny
1602,Brasília-DF,bras lia df
1606,left side of the couch,left side of the couch
1609,|Laval-west, Qc, Can|,laval west  qc  can
1616,From Da BX but reside in the D [M] V,from da bx but reside in the d  m  v
1619,Brooklynite - 617,brooklynite      
1620,|San Francisco, CA, United Stat|,san francisco  ca  united stat
1622,Omniscient.,omniscient 
1625,RDG 610 — RMU '18,rdg       rmu    
1630,spirit animal: Buffalo,spirit animal  buffalo
1633,Milky Way Galaxy,milky way galaxy
1634,a place called newbury,a place called newbury
1636,|Pasadena, Cawifownia|,pasadena  cawifownia
1638,|Next to EnVogue, Bradshawgate |,next to envogue  bradshawgate 
1639,|the NEK, Vt.|,the nek  vt 
1640,4A & 4B Waiting for TheBigBang, a    b waiting for thebigbang
1655,Bazinga!,bazinga 
1659,|Everywhere, just chillin. |,everywhere  just chillin  
1660,niall's bed,niall s bed
1661,somewhere in Neverland,somewhere in neverland
1663,ΑΧΩ • UofSC,      uofsc
1664,tangier/lund,tangier lund
1669,|Rhode Island ✈️Miami, FL|,rhode island   miami  fl
1673,IUSB,iusb
1680,|Chicago, South Bend, WDW|,chicago  south bend  wdw
1682,|[ GoT || Modern AU || Worm ]|,  got   modern au   worm  
1689,l e a h f i e l d i s l i f e ,l e a h f i e l d i s l i f e 
1690,Somewhere in PG Co.,somewhere in pg co 
1691,under your bed,under your bed
1695,|[ Modern AU || Worm ]|,  modern au   worm  
1700,Manchester/Keele ,manchester keele 
1703,sheldons spot,sheldons spot
1705,GMoney.,gmoney 
1711,where the wild shrugs are.,where the wild shrugs are 
1712,All around the WORLD  █♥█ ,all around the world      
1715,somewhere wild and exotic,somewhere wild and exotic
1716,wherever johnnydepp is,wherever johnnydepp is
1721,|Seattle, Evanston|,seattle  evanston
1725,MB - Royal Navy Headquarters,mb   royal navy headquarters
1742,I be killin' bitches w/o carin,i be killin  bitches w o carin
1749,The Iron Throne ,the iron throne 
1758,Sheldon Cooper's Bedroom,sheldon cooper s bedroom
1760,Montréal,montr al
1762,Jeanmarco Hell,jeanmarco hell
1764,|Nottingham, UK & Nice, France|,nottingham  uk   nice  france
1767,The Bermuda Triangle ,the bermuda triangle 
1769,In Braavos ,in braavos 
1771,Grand line ㅡ Westeros ● Ust ,grand line   westeros   ust 
1774,|Washington, DC, and Bern, CH|,washington  dc  and bern  ch
1784,Westeros ,westeros 
1796,The Scorch,the scorch
1799,|Victoria House, London, WC1|,victoria house  london  wc 
1800,Be kind to all ppl & animals,be kind to all ppl   animals
1801,Pick was hurr :'''),pick was hurr      
1802,Between worlds,between worlds
1807,Spoilers until Introduced,spoilers until introduced
1812,album 3 track 7 & 9,album   track      
1814,With Sheldon,with sheldon
1818,*** SELLING RTs/FAVS DM***,    selling rts favs dm   
1823,can't check me though. ,can t check me though  
1824,Bieberconda;) ,bieberconda   
1825,#FakeWesteros, fakewesteros
1827,Spook Central,spook central
1828,Westeros,westeros
1832,|Dragonstone, Westeros~2 BC|,dragonstone  westeros   bc
1833,The Sea Bitch / The Seaward,the sea bitch   the seaward
1834,RP [MC ﹕ Gᴀᴍᴇ ᴏғ Tʜʀᴏɴᴇs] AU,rp  mc   g       t     s  au
1836,stuck in the 1950s. NOVA - SC,stuck in the     s  nova   sc
1856,|Four Lane Ends, Bolton|,four lane ends  bolton
1861,Bristol / Cardiff ,bristol   cardiff 
1876,|If u no, you'll wish u didn't.|,if u no  you ll wish u didn t 
1885,Sheldonopolis,sheldonopolis
1889,born Anfield Lpool ,born anfield lpool 
1893,Here & There,here   there
1899,   Corner 1st of Amistad,   corner  st of amistad
1903,|Victoria, BC/Tacoma, Wa|,victoria  bc tacoma  wa
1905,shererville,shererville
1920,EF/Westeros ,ef westeros 
1925,FlYCOMPANY.ENTERTAINMENT,flycompany entertainment
1940,Westeros,westeros
1942,D{M}V • Ba-Co,d m v   ba co
1943,|Mbezi Beach, Dar es Salaam |,mbezi beach  dar es salaam 
1944,under your bed,under your bed
1954,New Yawk,new yawk
1958,SITTING ON TOP OF DA WORLD,sitting on top of da world
1963,Westeros,westeros
1965,anywhere with you,anywhere with you
1974,VALAR MORGHULIS,valar morghulis
1978,|Saskatoon, Saskatchewan, Canad|,saskatoon  saskatchewan  canad
1991,Jurasshinki World ,jurasshinki world 
1994,ISTANBUL / DUBAI ,istanbul   dubai 
1998,UK &amp; Egypt,uk  amp  egypt
2002,My Spot,my spot
2010,Brooklyn NY & Marin County CA,brooklyn ny   marin county ca
2014, somewhere countin ,   somewhere countin  
2016,Turtles dream in outer space ,turtles dream in outer space 
2022,literal wreck • CA,literal wreck   ca
2026,CStat,cstat
2041,Pissing my life away.,pissing my life away 
2057,Tardus,tardus
2058,Big bang theory,big bang theory
2059,Winterfell ,winterfell 
2062,|Regina, SK, CAN|,regina  sk  can
2073,|RP [MC||GᴏT] Dᴇsᴄʀɪᴘᴛɪᴠᴇ|,rp  mc g t  d s        
2085,Hamilton ➡️ Ottawa,hamilton    ottawa
2087,Gotham City ,gotham city 
2089,|Atlanta, GA and Charleston, SC|,atlanta  ga and charleston  sc
2091,City that never sleeps,city that never sleeps
2094,#ROWYSOBrussels #OTRANewcastle, rowysobrussels  otranewcastle
2095,Somwhere,somwhere
2099,Nor Cal,nor cal
2100,Blormal IL,blormal il
2106,Tulsa / Malibu / London,tulsa   malibu   london
2109,KL/Quiet Isle/@FakeWesteros,kl quiet isle  fakewesteros
2111,Meereen,meereen
2113,|Jacksonville , FL (WestJax) |,jacksonville   fl  westjax  
2122,Tamworth/York,tamworth york
2125,|Melbourne, AUS.|,melbourne  aus 
2127,Where the music lives,where the music lives
2129,Solihull + Lincoln,solihull   lincoln
2135,Birmingham/Uyo City ,birmingham uyo city 
2137,By the riverside,by the riverside
2140,Luton town ,luton town 
2143,|Stark Tower, NY|,stark tower  ny
2144,waiting for a husband,waiting for a husband
2146,|$t.Clair bred, Brooklyn bread|, t clair bred  brooklyn bread
2155,winterfell,winterfell
2156,Vancouver Island B.C.,vancouver island b c 
2157,|California ✈️ Norman,OK |,california    norman ok 
2161,#AGOC, agoc
2162,| The Mid-Atlantic States , USA|, the mid atlantic states   usa
2166,Pune/Noida,pune noida
2180,Halloween Town,halloween town
2182,The House Of Black And White,the house of black and white
2199,Westeros,westeros
2201,Oakland or San Francisco,oakland or san francisco
2205,Kingdom of Prussia,kingdom of prussia
2207,with your mother. ,with your mother  
2210,de aqui de alla ✈,de aqui de alla  
2211,Haus Of Shallow Bay,haus of shallow bay
2218,Westeros,westeros
2219,|NATURE WORLD, CA|,nature world  ca
2225,|New Acton, Canberra, ACT|,new acton  canberra  act
2226,Cloudsville & Airspace ✈.,cloudsville   airspace   
2231,Winterfell,winterfell
2232,Neature Walks,neature walks
2239,parts unknown,parts unknown
2240, México, m xico
2242,Shahe's bed,shahe s bed
2254,Fortress of sholitude,fortress of sholitude
2258,sheldon's spot,sheldon s spot
2262,On a canal somewhere,on a canal somewhere
2276,Winterfell,winterfell
2277,The Cheesecake Factory.,the cheesecake factory 
2282,NJ/NL/Braavos,nj nl braavos
2287,RP [MC : Gᴀᴍᴇ ᴏғ Tʜʀᴏɴᴇs] Dᴇsᴄ,rp  mc   g       t     s  d s 
2293,Wherever You Picture Me ,wherever you picture me 
2301,|Franchise Dept. || 843-388-7887|,franchise dept                
2310,Millenium Falcon,millenium falcon
2312,Ask for followback! 11/07/13,ask for followback          
2322,221B Baker Streer,   b baker streer
2330,Naath,naath
2348,|Highland Square - Akron, OH|,highland square   akron  oh
2352,☻NOLA/NYC☻, nola nyc 
2354,|USAF, Sigma Pi|,usaf  sigma pi
2355,The TARDIS,the tardis
2362,westeros,westeros
2371,|Westeros, Essos|,westeros  essos
2377,gloucester/colchester,gloucester colchester
2391,The woods of Westeros,the woods of westeros
2398,|F1 fan, team Hamilton || Button|,f  fan  team hamilton   button
2406,Suplex City,suplex city
2407,Some plane or another,some plane or another
2409,|In ur base, killing ur doodz.|,in ur base  killing ur doodz 
2412,Zombieland.,zombieland 
2415,jerzey ❤️,jerzey   
2421,more randomness here,more randomness here
2422,Local farmers market. ,local farmers market  
2424,Westeros,westeros
2426,Westeros,westeros
2431,Chicago... ish,chicago    ish
2434,2311 Los Robles Apt 4A,     los robles apt  a
2442,Syrian Londoner,syrian londoner
2443,I live somewhere in the globe,i live somewhere in the globe
2444,LA by way of NJ ,la by way of nj 
2445,//sfhs varsity cheer//chamber,  sfhs varsity cheer  chamber
2447,|Land O' Indies, PH|,land o  indies  ph
2453,~ road to Zion ~,  road to zion  
2458,team free will,team free will
2464,Astapor,astapor
2465,Where  Ever Tha Party At !!,where  ever tha party at   
2466,|San DIego, CA/Tijuana, BC|,san diego  ca tijuana  bc
2469,Ottawa 2 Vegas Baby,ottawa   vegas baby
2471,|Arda, Endor|,arda  endor
2472,|Swellview, Oregon|,swellview  oregon
2482,the burg via the mitten ✋,the burg via the mitten  
2491,The Schnoodlehaus Colchester,the schnoodlehaus colchester
2493,baziNga,bazinga
2496,|Washington, D.C. / Los Angeles|,washington  d c    los angeles
2508,VERITAS AEQUITAS,veritas aequitas
2509,|Darwin, ex-Melbourne|,darwin  ex melbourne
2521,Parts Uknown,parts uknown
2523,Standing in Heels,standing in heels
2530,YORKNEW CITY BX,yorknew city bx
2539,|[RP||SV||GoT]|, rp sv got 
2540,The Iron Throne,the iron throne
2550,Winterfell/Roaming,winterfell roaming
2555,sheldon@jabber.se,sheldon jabber se
2559,bikinis in the winter ,bikinis in the winter 
2562,Mt. Chillimanjaro,mt  chillimanjaro
2563,By my Lion. ,by my lion  
2565,My humble l abode. ,my humble l abode  
2569,JAKARTA & SINGAPORE+SEA Region,jakarta   singapore sea region
2571,|Twitterland, Indonesia|,twitterland  indonesia
2579,Chum Bucket,chum bucket
2581,C A L I F O R N I A,c a l i f o r n i a
2583,Canada/Los Angeles/ New York,canada los angeles  new york
2584,Hiding from the blue bird,hiding from the blue bird
2587,Oz/Pride Lands ,oz pride lands 
2605,|Chicago, IL || UK2018|,chicago  il   uk    
2606,HTX ✈️ ATX,htx    atx
2612,haven't decided ,haven t decided 
2615,Bolton Market Place,bolton market place
2616,ATL ✈️ SD,atl    sd
2628,|Chicago, IL  Toledo, OH|,chicago  il  toledo  oh
2629,|The Tardis. wait, wrong fandom|,the tardis  wait  wrong fandom
2633,|Winterfell, Westeros!|,winterfell  westeros 
2638,|MIA||Gainesville|,mia gainesville
2646,Kingslanding,kingslanding
2648,6 ft. under the stars,  ft  under the stars
2649,Dead at the Trident,dead at the trident
2652,Am[Erica],am erica 
2654,Winterfell,winterfell
2659,Baltimore Bred,baltimore bred
2669,GET MY LATEST SINGLE,get my latest single
2673,Sunspear,sunspear
2674,Dancing with Satine&Christian!,dancing with satine christian 
2679,|King's Landing, Westeros|,king s landing  westeros
2683,Casterly Rock,casterly rock
2685,Where the wild things are ,where the wild things are 
2696,|Leverhulme Park, Bolton|,leverhulme park  bolton
2697,Middle of nowhere,middle of nowhere
2699,sheffield // crewe,sheffield    crewe
2704,VirFidelis Forever and Always,virfidelis forever and always
2708,|Galt's Gulch, Colorado|,galt s gulch  colorado
2710,MIDWEST BUT WILL RELOCATE ,midwest but will relocate 
2722,Over There ➡,over there  
2732,|Plano, TX || MN|,plano  tx   mn
2739,|Auburn, AL, Childersburg Al|,auburn  al  childersburg al
2749,Leeds/Manchester :) ,leeds manchester    
2752,236k Miles from the Moon,   k miles from the moon
2761,with daniel,with daniel
2765,Milky Way Galaxy,milky way galaxy
2766,|MK, Cambridge, London|,mk  cambridge  london
2767,boltonmanchesterliverpool,boltonmanchesterliverpool
2773,Bolton Market Place,bolton market place
2774,gotham city,gotham city
2789, ...somewhere building my brand!,    somewhere building my brand 
2794,Oh wouldn't u wanna know...,oh wouldn t u wanna know   
2796,|ATL, DETROIT|,atl  detroit
2798,NC-STL,nc stl
2799,san joaquin pasig city,san joaquin pasig city
2808,Russia...BAZINGA,russia   bazinga
2809,Wherever I am,wherever i am
2810,|Winston - Salem, N.C.|,winston   salem  n c 
2823,LA NYC MARS,la nyc mars
2824,|Croatia, hopefully someday LA|,croatia  hopefully someday la
2826,|Mason City, Iowa|,mason city  iowa
2827,|Potomac Falls, VA|,potomac falls  va
2829,Casterly Cock,casterly cock
2830,|In England, drinking coffee|,in england  drinking coffee
2832,UB,ub
2833,Middle-earth ,middle earth 
2834,Searching for Gallifrey,searching for gallifrey
2840,|Charm City, USA|,charm city  usa
2841,|Columbia, Missouri|,columbia  missouri
2842,|London, England|,london  england
2843,Casterly Rock ,casterly rock 
2845,|Tampa, Florida|,tampa  florida
2847,Bayonne,bayonne
2848,|Chennai, India|,chennai  india
2849,Weston Super Mare,weston super mare
2850,catching planes ✈️,catching planes   
2851,Riding my bike on a wall,riding my bike on a wall
2852,W o n d e r l a n d,w o n d e r l a n d
